"Query ID","Description","Query String"
"Q1","Relation Extraction, Low-resource","""Relation Extraction"" AND ""Low-resource"""
"Q2","Relation Extraction, Data scarcity","""Relation Extraction"" AND ""Data scarcity"""
"Q3","Relation Extraction, Limited data","""Relation Extraction"" AND ""Limited data"""
"Q4","Relation Extraction, Sparse data","""Relation Extraction"" AND ""Sparse data"""
"Q16","Triplet Extraction, Low-resource","""Triplet Extraction"" AND ""Low-resource"""
"Q17","Triplet Extraction, Data scarcity","""Triplet Extraction"" AND ""Data scarcity"""
"Q18","Triplet Extraction, Limited data","""Triplet Extraction"" AND ""Limited data"""
"Q19","Triplet Extraction, Sparse data","""Triplet Extraction"" AND ""Sparse data"""
"Q31","Information Extraction, Low-resource","""Information Extraction"" AND ""Low-resource"""
"Q32","Information Extraction, Data scarcity","""Information Extraction"" AND ""Data scarcity"""
"Q33","Information Extraction, Limited data","""Information Extraction"" AND ""Limited data"""
"Q34","Information Extraction, Sparse data","""Information Extraction"" AND ""Sparse data"""
"Q46","Relation Generation, Low-resource","""Relation Generation"" AND ""Low-resource"""
"Q47","Relation Generation, Data scarcity","""Relation Generation"" AND ""Data scarcity"""
"Q48","Relation Generation, Limited data","""Relation Generation"" AND ""Limited data"""
"Q49","Relation Generation, Sparse data","""Relation Generation"" AND ""Sparse data"""
"Q61","Triplet Generation, Low-resource","""Triplet Generation"" AND ""Low-resource"""
"Q62","Triplet Generation, Data scarcity","""Triplet Generation"" AND ""Data scarcity"""
"Q63","Triplet Generation, Limited data","""Triplet Generation"" AND ""Limited data"""
"Q64","Triplet Generation, Sparse data","""Triplet Generation"" AND ""Sparse data"""
